Malpasset Geometry 
Point Number X (m)     Y (m)      Z (m)
     318   6078.46   4387.28     37.33
     319   6069.63   4370.59     36.36
     320   5967.60   4379.62     36.29
     321   5962.25   4396.28     37.28
     322   5956.50   4415.06     39.03
     323   5950.63   4434.80     39.97
     324   6133.21   4528.59     60.00
     325   6104.49   4527.37     61.19
     326   6119.09   4505.21     59.77
     327   5984.17   4376.15     36.23
     328   5980.97   4391.77     37.27
     329   5977.35   4410.16     39.11
     330   5971.47   4430.21     40.94
     331   5964.76   4450.14     50.05
     332   6106.34   4482.78     52.27
     333   6095.21   4461.63     47.05
     334   6084.89   4441.61     40.20
     335   6075.28   4422.26     39.75
     336   6066.58   4403.73     38.72
     337   6058.45   4386.45     37.21
     338   6050.46   4370.52     36.32
     339   6075.05   4525.69     66.23
     340   6090.82   4503.43     60.22
     341   6015.86   4371.30     36.21
     342   6009.84   4385.71     37.01
     343   5999.56   4402.52     38.60
     344   5993.33   4425.11     41.75
     345   5986.26   4445.97     51.81
     346   5978.69   4465.82     58.25
     347   6032.43   4370.29     36.19
     348   6080.53   4480.35     57.52
     349   6071.70   4459.57     49.94
     350   6061.50   4439.74     41.36
     351   6053.34   4419.87     39.69
     352   6046.20   4401.56     38.65
     353   6039.38   4385.00     37.05
     354   6000.14   4462.75     60.00
     355   6023.89   4460.29     59.62
     356   6048.41   4458.59     51.18
     357   6016.15   4420.04     39.84
     358   6035.08   4415.38     39.59
     359   6024.38   4382.25     36.83
     360   6024.37   4398.92     38.34
     361   6009.19   4441.78     51.96
     362   6035.37   4436.53     41.54
     363   6011.90   4482.16     61.04
     364   6026.72   4503.72     67.09
     365   6044.76   4525.65     69.84
     366   6038.34   4479.91     60.19
     367   6059.68   4475.52     58.95
     368   6059.41   4499.18     61.97
     369   5990.90   4480.46     60.37
     370   5999.97   4373.38     36.23
     371   5994.90   4385.91     36.93
     372   5921.71   4406.85     37.21
     373   5940.89   4398.82     37.02
     374   5950.16   4382.25     36.19
     375   5907.87   4394.30     36.43
     376   5923.59   4388.74     36.25
     377   5935.67   4382.47     36.27
     378   5936.39   4420.08     38.84
     379   6131.22   4443.08     39.90
     380   6141.56   4424.81     38.99
     381   6151.94   4408.23     37.64
     382   6162.65   4393.16     36.68
     383   6119.90   4424.44     39.33
     384   6109.59   4405.58     38.24
     385   6131.36   4406.70     37.89
     386   6143.42   4390.90     36.77
     387   6155.24   4377.13     36.12
     388   6137.54   4373.91     36.15
     389   6121.76   4386.27     36.80
     390   6123.19   4368.99     36.14
     391   6089.16   4370.43     36.39
     392   6108.10   4370.33     36.25
     393   6099.14   4387.48     37.26
     394   6187.58   4441.86     39.56
     395   6170.73   4438.30     38.98
     396   6153.47   4441.82     39.72
     397   6159.49   4482.49     40.84
     398   6144.63   4461.95     41.07
     399   6171.19   4458.24     40.00
     400   6171.17   4409.23     37.36
     401   6161.47   4424.56     38.55
     402   6179.94   4425.00     38.26
     403   6199.39   4395.08     36.65
     404   6217.56   4395.11     36.76
     405   6208.37   4380.64     36.06
     406   6190.72   4380.04     36.07
     407   6226.05   4380.98     36.09
     408   6208.70   4410.28     37.71
     409   5933.49   4559.18     70.00
     410   5939.27   4533.57     69.00
     411   5944.67   4510.22     59.05
     412   5950.63   4489.55     50.11
     413   5797.28   4419.62     36.73
     414   5810.89   4440.99     38.10
     415   5831.70   4456.87     39.30
     416   5849.72   4471.26     39.95
     417   5865.10   4487.11     40.68
     418   5880.11   4504.52     47.72
     419   5895.39   4523.03     55.16
     420   5912.76   4541.93     64.78
     421   5884.62   4419.77     36.47
     422   5879.11   4441.64     38.86
     423   5872.92   4464.60     39.92
     424   5920.82   4517.19     56.43
     425   5928.32   4494.65     49.70
     426   5936.08   4473.82     47.13
     427   5898.67   4456.93     39.90
     428   5913.24   4477.36     40.90
     429   5922.77   4457.32     40.28
     430   5899.63   4433.33     38.61
     431   5913.93   4442.51     39.79
     432   5904.50   4499.74     49.18
     433   5889.09   4481.71     40.55
     434   5871.20   4404.62     36.51
     435   5848.05   4409.79     36.54
     436   5823.15   4415.09     35.78
     437   5862.93   4426.29     37.55
     438   5838.76   4433.00     37.67
     439   5855.86   4448.94     39.16
     440   5906.29   4568.95     70.00
     441   5807.61   4515.96     50.40
     442   5831.35   4525.85     51.07
     443   5853.60   4537.85     56.63
     444   5881.31   4549.68     62.97
     445   5828.41   4502.27     45.04
     446   5844.96   4490.18     40.78
     447   5827.81   4479.85     40.00
     448   5804.94   4491.34     41.95
     449   5790.76   4455.76     39.30
     450   5807.13   4467.20     39.73
     451   5787.42   4439.39     38.16
     452   5853.77   4510.41     48.04
     453   5872.84   4525.10     51.75
     454   5811.77   4540.85     59.66
     455   5832.95   4547.76     59.92
     456   5959.63   4549.47     70.00
     457   5964.28   4523.43     69.13
     458   5986.03   4538.55     70.00
     459   5964.67   4502.96     59.93
     460   6312.37   4441.47     50.00
     461   6288.37   4440.19     48.13
     462   6269.62   4436.66     41.74
     463   6251.48   4441.20     40.41
     464   6229.65   4443.00     39.93
     465   6241.81   4461.77     40.55
     466   6254.22   4484.05     47.73
     467   6266.53   4509.10     50.19
     468   6279.46   4534.51     55.13
     469   6308.17   4536.14     60.22
     470   6323.23   4512.71     60.00
     471   6337.81   4489.40     55.67
     472   6282.15   4485.68     51.12
     473   6310.08   4487.80     57.60
     474   6324.52   4464.88     50.20
     475   6269.35   4458.96     49.37
     476   6297.81   4463.16     50.00
     477   6294.94   4510.99     58.98
     478   6351.57   4514.23     60.00
     479   6336.84   4537.66     62.95
     480   6365.57   4539.12     63.25
     481   6221.16   4530.48     40.00
     482   6237.80   4506.68     41.92
     483   6218.48   4461.28     40.00
     484   6227.66   4482.11     40.00
     485   6207.05   4477.26     40.00
     486   6191.30   4529.32     40.00
     487   6206.63   4501.65     40.00
     488   6250.59   4532.69     48.28
     489   6279.60   4420.68     40.58
     490   6290.43   4400.11     40.70
     491   6239.11   4424.59     39.82
     492   6259.32   4422.25     40.18
     493   6268.39   4404.68     39.78
     494   6275.47   4387.97     38.15
     495   6282.13   4373.17     36.87
     496   6247.69   4405.69     39.41
     497   6246.35   4393.24     37.54
